"ccode","cname","year","ccodealp","ccodecow","p_durable","p_polity2_onset","d_p_polity2","arch_exit_any","arch_exit_reg","arch_exit_irreg","regime_change","regime_change_year","prevrc","democratization","duration","twincrisis","twincrisis2","triplecrisis","twincrisis_any","wr_regtype","military","personal","party","wr_monarchy","gwf_regimetype","gwf_party","gwf_personal","gwf_military","gwf_monarch","gdppcgr_onset","d_gdppcgr_max","d_gdppcgr_total","d_gdppcgr","vdem_index","ers_onset","mi_onset","kaopen_onset","d_ers","d_mi","d_kaopen","ers_mi_onset","d_ers_mi","mi_kaopen_onset","d_mi_kaopen","ers_kaopen_onset","d_ers_kaopen","ers_mi_policy","mi_kaopen_policy","ers_kaopen_policy","latam","mideast","africa","asia","southeastasia","europe","exussr","time","time2"
"180","Congo, Democratic Republic","1989","COD","490","","","","0","0","0","0","","0","0","29","0","0","0","0","10","0","1","0","0","personal","0","1","0","0","-2.57916","-3.76659","-3.76659","-3.76659","0.165660033","0.18806391954422","0.5","0.16480922698975","0.058344081","0","0","0.34338442668741","0.022143447960781","0.63738588941002","0","0.82370523906489","-0.030275469681601","1","0","0","0","0","1","0","0","0","0","1","1"
"180","Congo, Democratic Republic","1994-1997","COD","490","","","","1","0","1","1","1997","0","0","34","1","0","0","1","10","0","1","0","0","personal","0","1","0","0","-16.35448","-7.14933","-18.855319039209","-4.7138297598022","0.224465529","0.016848791390657","0.35035797953606","0.16480922698975","0.10255724564195","0.38000908493996","0.060602068901062","0.38269126275079","-0.24725181346524","0.5346308812107","0.23960518106844","0.91255089964728","-0.053238673513502","0","1","0","0","0","1","0","0","0","0","1","4"
"180","Congo, Democratic Republic","1999","COD","490","","","","0","0","0","0","","1","0","2","1","0","0","1","10","0","1","0","0","personal","0","1","0","0","-3.8473","-7.16935","-7.16935","-7.16935","0.167361069","0.099797867238522","0.62989914417267","0.22541129589081","-0.027663037","-0.138049155","0","0.2193553676548","0.085710158396406","0.70524753925243","-0.094794510650363","0.840310488308","0.014354694229169","1","0","0","0","0","1","0","0","0","0","1","1"
"180","Congo, Democratic Republic","2009","COD","490","","","","0","0","0","0","","0","0","12","0","0","0","0","10","0","1","0","0","personal","0","1","0","0","3.21645","0.06988","0.06988","0.06988","0.445631775","0.26874601840973","0.87677484750748","0.16480922698975","-0.09139286","-0.000764966","0","0.11142407826767","-0.034153398474121","0.89610668471136","-0.0005252808568994","0.7818382939638","0.047424892242192","0","0","1","0","0","1","0","0","0","0","1","1"
"384","Cote d'Ivoire","1994","CIV","437","34","-7","1","0","0","0","0","","0","0","34","0","1","0","1","6","0","0","1","0","party-based","1","0","0","0","9.41198","-3.44647","-3.44647","-3.44647","0.358584943","1","0.40186539292336","0.41280457377434","0","0.098134607","0","0.71993211640673","-0.068391934700521","0.48268661932311","0.067386301812385","0.28290132739923","0","0","1","0","0","0","1","0","0","0","0","1","1"
"218","Ecuador","1971","ECU","130","0","0","-5","0","0","0","1","1972","1","0","1","0","0","0","0","10","0","1","0","0","personal","0","1","0","0","3.3545151224128","3.18614","3.18614","3.18614","0.38925","1","0.5","0.65521293878555","0","0","-0.164809227","0.65154018170621","0","0.46472698961651","0.058025212948872","0.16611286963628","0.079402439121048","0","0","1","1","0","0","0","0","0","0","1","1"
"818","Egypt","1962","EGY","651","10","-7","0","0","0","0","0","","0","0","10","0","0","0","0","8","1","1","1","0","party-personal-military","1","0","0","0","3.97513","4.19958","4.19958","4.19958","0.203844182","1","","","0","","","","","","","","","","","","0","1","0","0","0","0","0","1","1"
"818","Egypt","1979","EGY","651","27","-6","0","0","0","0","0","","0","0","27","1","0","0","1","8","1","1","1","0","party-personal-military","1","0","0","0","4.35631","4.6578","4.6578","4.6578","0.223376049","1","0.27846631407738","0","0","0.150725722","0","0.80593135759131","-0.10504371561873","0.5432900895389","0.10349915607993","0.48178394238805","0","0","1","0","0","1","0","0","0","0","0","1","1"
"818","Egypt","1989-1991","EGY","651","37","-6","0","0","0","0","0","","0","0","37","0","0","0","0","8","1","1","1","0","party-personal-military","1","0","0","0","1.83814","-0.19644","0.85578173928617","0.28526057976206","0.231920327","1","0.58355575799942","0","-0.92321308","-0.13956582546234","0","0.59330853320645","-0.25312277687036","0.75278651450391","-0.095835965695105","0.48178394238805","0.47906675535872","0","0","1","0","1","0","0","0","0","0","1","3"
"818","Egypt","2001","EGY","651","49","-6","0","0","0","0","0","","0","0","49","0","0","0","0","8","1","1","1","0","party-personal-military","1","0","0","0","3.14336","1.32288","1.32288","1.32288","0.21891327","0.45217415690422","0.16465370357037","0.8351908326149","-0.192690343","-0.038318843","0.164809167","0.67733214226321","-0.046427004484247","0.17108830490448","-0.084337674102115","0.36367605747554","0.020587006223115","0","0","1","0","1","0","0","0","0","0","1","1"
"818","Egypt","2003","EGY","651","51","-6","0","0","0","0","0","","0","0","51","0","0","0","0","8","1","1","1","0","party-personal-military","1","0","0","0","0.98737","0.99787","0.99787","0.99787","0.216178482","0.93965280056","0.12563253939152","1","-0.771945104","0.067556351","-0.284184992","0.88954052073659","-0.340059246123","0.086268366166495","0.14644350388371","0.031314912743784","0.53748768643716","0","0","1","0","1","0","0","0","0","0","1","1"
"222","El Salvador","1973","SLV","92","9","-1","0","0","0","0","0","","0","0","25","0","0","0","0","7","1","0","1","0","party-military","1","0","0","0","3.41836","1.92297","1.92297","1.92297","0.190545908","1","","0.16480922698975","0","","0","","","","","0.402381503267","0","","","","1","0","0","0","0","0","0","1","1"
"222","El Salvador","1988-1989","SLV","92","4","6","0","1","1","0","0","","0","0","6","1","1","1","1","1","1","0","0","0","indirect military","0","0","1","0","0.756295313","-0.684287265","-0.63329510123716","-0.31664755061858","0.21901","1","0.5","0","0","0.136903822","0","0.65154018170621","-0.095410962169811","0.6954111023589","0.094008042339178","0.48178394238805","0","0","1","0","1","0","0","0","0","0","0","1","2"
